,showno,date,venue,setno,trackno,song
0,1,05-05-1965,"Magoo's Pizza, Menlo Park, CA",1,1,Cold Rain and Snow
1,1,05-05-1965,"Magoo's Pizza, Menlo Park, CA",1,2,Stealin'
2,1,05-05-1965,"Magoo's Pizza, Menlo Park, CA",1,3,Little Red Rooster
3,1,05-05-1965,"Magoo's Pizza, Menlo Park, CA",1,4,Off the Hook
4,1,05-05-1965,"Magoo's Pizza, Menlo Park, CA",1,5,Good Lovin'
5,10,03-11-1965,"Mother's, San Francisco, CA",1,1,Can't Come Down
6,10,03-11-1965,"Mother's, San Francisco, CA",1,2,Mindbender
7,10,03-11-1965,"Mother's, San Francisco, CA",1,3,The Only Time Is Now
8,10,03-11-1965,"Mother's, San Francisco, CA",1,4,Caution (Do Not Stop on Tracks)
9,10,03-11-1965,"Mother's, San Francisco, CA",1,5,I Know You Rider
10,10,03-11-1965,"Mother's, San Francisco, CA",1,6,Early Morning Rain
11,12,10-12-1965,"Fillmore Auditorium, San Francisco, CA",1,1,Little Red Rooster
12,12,10-12-1965,"Fillmore Auditorium, San Francisco, CA",1,2,I Know You Rider
13,12,10-12-1965,"Fillmore Auditorium, San Francisco, CA",1,3,In the Midnight Hour
14,12,10-12-1965,"Fillmore Auditorium, San Francisco, CA",1,4,Early Morning Rain
15,13,11-12-1965,"Muir Beach Lodge, San Rafael, CA",1,1,
16,13,11-12-1965,"Muir Beach Lodge, San Rafael, CA",1,2,I'm a Hog for You
17,13,11-12-1965,"Muir Beach Lodge, San Rafael, CA",1,3,Early Morning Rain
18,14,18-12-1965,"Big Beat Club, Palo Alto, CA",1,1,The Golden Road (To Unlimited Devotion)
19,14,18-12-1965,"Big Beat Club, Palo Alto, CA",1,2,New Potato Caboose
20,14,18-12-1965,"Big Beat Club, Palo Alto, CA",1,3,Alligator
21,14,18-12-1965,"Big Beat Club, Palo Alto, CA",1,4,He Was a Friend of Mine
22,14,18-12-1965,"Big Beat Club, Palo Alto, CA",1,5,Good Lovin'
23,16,06-01-1966,"The Matrix, San Francisco, CA",1,1,It's a Sin
24,16,06-01-1966,"The Matrix, San Francisco, CA",1,2,Sick and Tired
25,16,06-01-1966,"The Matrix, San Francisco, CA",1,3,Mindbender
26,16,06-01-1966,"The Matrix, San Francisco, CA",1,4,On the Road Again
27,16,06-01-1966,"The Matrix, San Francisco, CA",1,5,She Belongs to Me
28,16,06-01-1966,"The Matrix, San Francisco, CA",1,6,I'll Go Crazy
29,16,06-01-1966,"The Matrix, San Francisco, CA",1,7,Can't Come Down
30,16,06-01-1966,"The Matrix, San Francisco, CA",1,8,Death Don't Have No Mercy
31,16,06-01-1966,"The Matrix, San Francisco, CA",1,9,Parchman Farm
32,16,06-01-1966,"The Matrix, San Francisco, CA",1,10,In the Midnight Hour
33,16,06-01-1966,"The Matrix, San Francisco, CA",1,11,The Only Time Is Now
34,16,06-01-1966,"The Matrix, San Francisco, CA",1,12,Early Morning Rain
35,16,06-01-1966,"The Matrix, San Francisco, CA",1,13,"It's All Over Now, Baby Blue"
36,17,07-01-1966,"The Matrix, San Francisco, CA",1,1,It's a Sin
37,17,07-01-1966,"The Matrix, San Francisco, CA",1,2,Sick and Tired
38,17,07-01-1966,"The Matrix, San Francisco, CA",1,3,Mindbender
39,17,07-01-1966,"The Matrix, San Francisco, CA",1,4,On the Road Again
40,17,07-01-1966,"The Matrix, San Francisco, CA",1,5,She Belongs to Me
41,17,07-01-1966,"The Matrix, San Francisco, CA",1,6,I'll Go Crazy
42,17,07-01-1966,"The Matrix, San Francisco, CA",1,7,Can't Come Down
